input_query,input_type,normalized_area,country_code,agent_name,branch_name,agent_type,website_url,website_domain,canonical_url,phone,email,address_full,postcode,city,latitude,longitude,source_names,source_ids,portal_profile_urls,google_place_id,osm_type,osm_id,match_confidence,validation_status,first_seen_source,evidence_count,notes
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,1st Avenue,"1st Avenue, Surrey",sales_and_lettings,,,,02039106463,,,,,,,rightmove,https://www.rightmove.co.uk/estate-agents/agent/1st-Avenue/Surrey-92053.html,https://www.rightmove.co.uk/estate-agents/agent/1st-Avenue/Surrey-92053.html,,,,100,unvalidated,rightmove,2,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,1st Avenue,1st Avenue - Croydon & Surrey,sales_and_lettings,,,,02081151645,,"5 Saffron Central Square, Croydon, Surrey, CR0 2FT",CR0 2FT,Surrey,,,otm,https://www.onthemarket.com/agents/branch/1st-avenue-croydon-and-surrey/,https://www.onthemarket.com/agents/branch/1st-avenue-croydon-and-surrey/,,,,100,partial,otm,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,1st Avenue East Croydon,1st Avenue East Croydon,unknown,https://1stavenue.co.uk/,1stavenue.co.uk,https://1stavenue.co.uk/,02086037107,,"Keats Building, 5 Saffron Central Sq, Wellesley Rd, Croydon CR0 2FT, UK",CR0 2FT,Croydon,51.3794395,-0.09866169999999999,google,ChIJ-53rhXIHdkgRTdBFMie5fDM,,ChIJ-53rhXIHdkgRTdBFMie5fDM,,,100,validated,google,1,businessStatus:OPERATIONAL|googleType:real_estate_agency|googleType:point_of_interest|googleType:service|googleType:establishment
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Access Estate Agents,Access Estate Agents,unknown,,,,,,53 Central Parade Croydon CR0 0JD,CR0 0JD,Croydon,51.3406751,-0.0137202,overpass,node/5999893290,,,node,5999893290,100,unvalidated,overpass,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Acorn,Acorn,unknown,http://www.acorn.ltd.uk/,ltd.uk,http://www.acorn.ltd.uk/,+442087680000,,29-31 Westow Street London SE19 3RW,SE19 3RW,London,51.4185072,-0.0822614,overpass,way/189209043,,,way,189209043,100,validated,overpass,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Allen Heritage,Allen Heritage,unknown,,,,,,151 Wickham Road Croydon CR0 8TE,CR0 8TE,Croydon,51.3747336,-0.0496462,overpass,node/5958170400,,,node,5958170400,100,unvalidated,overpass,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Allen Heritage,"Allen Heritage, Shirley",sales_and_lettings,,,,02045726723,,,,,,,rightmove,https://www.rightmove.co.uk/estate-agents/agent/Allen-Heritage/Shirley-7470.html,https://www.rightmove.co.uk/estate-agents/agent/Allen-Heritage/Shirley-7470.html,,,,100,unvalidated,rightmove,2,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Allen Heritage,Allen Heritage - Shirley,sales_and_lettings,http://www.allenheritage.co.uk/,allenheritage.co.uk,http://www.allenheritage.co.uk/,02080226739,,"151 Wickham Road, Shirley, CR0 8TE",CR0 8TE,Shirley,,,otm,https://www.onthemarket.com/agents/branch/allen-heritage-shirley/,https://www.onthemarket.com/agents/branch/allen-heritage-shirley/,,,,100,validated,otm,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Andrews,Andrews,unknown,https://www.andrewsonline.co.uk/branches/sales/Purley,andrewsonline.co.uk,https://www.andrewsonline.co.uk/branches/sales/Purley,+442086688131,,909-911 Brighton Road Purley CR8 2BP,CR8 2BP,Purley,51.3394631,-0.1152288,overpass,node/3569174601,,,node,3569174601,100,validated,overpass,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Andrews,Andrews,unknown,,,,,,137 Brighton Road Coulsdon CR5 2NJ,CR5 2NJ,Coulsdon,51.3216695,-0.136931,overpass,way/610042991,,,way,610042991,100,unvalidated,overpass,1,
